"Image Name","PID","Services"
"fontdrvhost.exe","17360","N/A"
"dwm.exe","15264","N/A"
"svchost.exe","21416","AppXSvc"
"NVDisplay.Container.exe","21276","N/A"
"svchost.exe","10928","lmhosts"
"svchost.exe","25940","NgcSvc"
"dptf_helper.exe","17668","N/A"
"RAVBg64.exe","10404","N/A"
"RAVBg64.exe","1924","N/A"
"nvcontainer.exe","19800","N/A"
"sihost.exe","21212","N/A"
"svchost.exe","20220","CDPUserSvc_5891c689"
"svchost.exe","7040","BluetoothUserService_5891c689"
"igfxEM.exe","21712","N/A"
"svchost.exe","21184","WpnUserService_5891c689"
"GoogleUpdate.exe","22284","N/A"
"taskhostw.exe","10960","N/A"
"explorer.exe","3808","N/A"
"svchost.exe","25232","cbdhsvc_5891c689"
"NVIDIA Web Helper.exe","14512","N/A"
"conhost.exe","9768","N/A"
"StartMenuExperienceHost.exe","13316","N/A"
"RuntimeBroker.exe","25904","N/A"
"SearchApp.exe","23416","N/A"
"ctfmon.exe","18012","N/A"
"RuntimeBroker.exe","22852","N/A"
"SettingSyncHost.exe","25884","N/A"
"YourPhone.exe","16128","N/A"
"TabTip.exe","25328","N/A"
"RuntimeBroker.exe","13080","N/A"
"Wacom_TabletUser.exe","21488","N/A"
"WacomHost.exe","12872","N/A"
"RuntimeBroker.exe","25240","N/A"
"Wacom_Tablet.exe","23212","N/A"
"Wacom_TouchUser.exe","7412","N/A"
"svchost.exe","12200","OneSyncSvc_5891c689,PimIndexMaintenanceSvc_5891c689,UnistoreSvc_5891c689,UserDataSvc_5891c689"
"smartscreen.exe","13120","N/A"
"Spotify.exe","8628","N/A"
"SecurityHealthSystray.exe","3900","N/A"
"Spotify.exe","11424","N/A"
"Spotify.exe","25444","N/A"
"Spotify.exe","21000","N/A"
"Spotify.exe","1840","N/A"
"RtkNGUI64.exe","16496","N/A"
"RAVBg64.exe","19056","N/A"
"RAVBg64.exe","20392","N/A"
"WavesSvc64.exe","23984","N/A"
"OneDrive.exe","23316","N/A"
"WmiApSrv.exe","8888","wmiApSrv"
"googledrivesync.exe","4844","N/A"
"express.exe","13716","N/A"
"audiodg.exe","17180","N/A"
"rundll32.exe","23776","N/A"
"AdobeCollabSync.exe","19512","N/A"
"AdobeCollabSync.exe","17940","N/A"
"Cortana.exe","23920","N/A"
"ONENOTEM.EXE","10716","N/A"
"googledrivesync.exe","2900","N/A"
"RuntimeBroker.exe","18696","N/A"
"svchost.exe","7560","AarSvc_5891c689"
"jusched.exe","13196","N/A"
"SpeechRuntime.exe","10384","N/A"
"TextInputHost.exe","14772","N/A"
"dllhost.exe","10284","N/A"
"cmd.exe","15564","N/A"
"conhost.exe","17960","N/A"
"wsl.exe","15540","N/A"
"svchost.exe","21388","LxssManager"
"vmwp.exe","7276","N/A"
"vmmem","12404","N/A"
"wslhost.exe","18872","N/A"
"conhost.exe","3312","N/A"
"dllhost.exe","15868","N/A"
"wslhost.exe","20548","N/A"
"conhost.exe","15752","N/A"
"SystemSettings.exe","16892","N/A"
"ApplicationFrameHost.exe","14296","N/A"
"IAStorIcon.exe","7504","N/A"
"Calculator.exe","23948","N/A"
"chrome.exe","23568","N/A"
"chrome.exe","11636","N/A"
"chrome.exe","13084","N/A"
"chrome.exe","24164","N/A"
"WinStore.App.exe","2012","N/A"
"chrome.exe","2040","N/A"
"chrome.exe","23668","N/A"
"chrome.exe","11536","N/A"
"chrome.exe","26028","N/A"
"RuntimeBroker.exe","23760","N/A"
"chrome.exe","17988","N/A"
"chrome.exe","3936","N/A"
"AdobeNotificationClient.exe","15184","N/A"
"RuntimeBroker.exe","5168","N/A"
"AcrobatNotificationClient.exe","18848","N/A"
"Code.exe","8064","N/A"
"Code.exe","21172","N/A"
"Code.exe","6836","N/A"
"Code.exe","3912","N/A"
"Code.exe","3396","N/A"
"Code.exe","6212","N/A"
"Code.exe","12828","N/A"
"wsl.exe","23904","N/A"
"conhost.exe","1388","N/A"
"wslhost.exe","26572","N/A"
"conhost.exe","3132","N/A"
"Code.exe","8704","N/A"
"jucheck.exe","10688","N/A"
"ShellExperienceHost.exe","21676","N/A"
"RuntimeBroker.exe","17708","N/A"
"cmd.exe","17344","N/A"
"conhost.exe","16552","N/A"
"svchost.exe","21144","smphost"
"svchost.exe","10448","ClipSVC"
"SystemIdleCheck.exe","14104","N/A"
"cmd.exe","10920","N/A"
"conhost.exe","22036","N/A"
"VSSVC.exe","11912","VSS"
"svchost.exe","24384","swprv"
"svchost.exe","19824","wlidsvc"
"svchost.exe","13372","gpsvc"
"SearchProtocolHost.exe","3620","N/A"
"SearchFilterHost.exe","21296","N/A"
"pcdrmemory2.p5x","5460","N/A"
"tasklist.exe","18336","N/A"
